Date,ERIC-B.ST,VOLV-B.ST,ATCO-B.ST,SAND.ST,SKF-B.ST,SWED-A.ST,SSAB-B.ST,NIBE-B.ST,ALFA.ST,HEXA-B.ST,INDU-C.ST,ESSITY-B.ST,TELIA.ST,SECU-B.ST,SCA-B.ST,KINV-B.ST,NDA-SE.ST,SHB-A.ST,SEB-A.ST,SINCH.ST,GETI-B.ST,LATO-B.ST,LIFCO-B.ST,BURE.ST,INVE-B.ST,EVO.ST,SWEC-B.ST,SKA-B.ST,HUSQ-B.ST,ABB.ST,AAPL,MSFT,GOOGL,AMZN,META,NVDA,JPM,V,MA,PG,JNJ,UNH,HD,BAC,XOM,CVX,LLY,ABBV,AVGO,COST,PEP,KO,TMO,ORCL,CRM,AMD,QCOM,TXN,WMT,MCD
2025-04-07,16253098.0,12533136.0,6734087.0,6540116.0,4344984.0,8643814.0,8670596.0,19548602.0,2328092.0,9712556.0,1055123.0,3528893.0,29904157.0,1497618.0,4281182.0,6253143.0,16024207.0,20476644.0,9087036.0,15948818.0,2380344.0,720772.0,592984.0,180595.0,13992978.0,1777225.0,446986.0,1574842.0,2736271.0,2697386.0,160466300.0,50425000.0,76794100.0,109327100.0,36606100.0,611041300.0,22914400.0,12163400.0,6009400.0,15708000.0,18083000.0,7356700.0,6950500.0,137329100.0,35068500.0,17817000.0,6274400.0,12581100.0,68503500.0,4626600.0,14423200.0,34258400.0,4076300.0,19482700.0,11965200.0,70515400.0,17938300.0,18337200.0,36884900.0,7725900.0
2025-04-08,11529602.0,6823075.0,3312084.0,3065638.0,1980782.0,5355946.0,5215574.0,9945976.0,1074692.0,6070719.0,613286.0,2415964.0,14429984.0,1386493.0,2266795.0,3325418.0,9238317.0,11918605.0,6661548.0,7857217.0,1201184.0,405015.0,314196.0,66895.0,7263751.0,962287.0,345891.0,1343604.0,1468482.0,1686020.0,120859500.0,35868900.0,52200200.0,87710400.0,28034200.0,476243400.0,19485700.0,9569300.0,3555400.0,11541100.0,12018400.0,11762300.0,4868000.0,79116300.0,27147800.0,12904400.0,4115200.0,12517100.0,58888200.0,3545400.0,9488900.0,22774400.0,3929200.0,11950300.0,9340300.0,69910200.0,14965900.0,13902800.0,34351700.0,5562500.0
2025-04-09,8241550.0,7494794.0,4171309.0,3137818.0,2064001.0,6199669.0,4415988.0,10809641.0,1365865.0,6844206.0,775932.0,2192879.0,20813122.0,2225156.0,2934211.0,3415911.0,9701570.0,12079683.0,5994490.0,9737653.0,1700453.0,422592.0,530607.0,78665.0,10226382.0,928713.0,314040.0,1150041.0,1770600.0,1454385.0,184395900.0,50199700.0,70406200.0,116804300.0,39216600.0,612918300.0,24022400.0,11361800.0,4698400.0,10670200.0,18773700.0,12691900.0,6793000.0,161173500.0,30063300.0,16846800.0,6619000.0,18977800.0,72708300.0,5084500.0,14067000.0,27918700.0,4597700.0,17762000.0,12491100.0,97827400.0,21242600.0,21578500.0,46632800.0,8265700.0
2025-04-10,9096268.0,7040028.0,3492704.0,3302719.0,1935210.0,4899878.0,6820853.0,11292530.0,1271316.0,6018769.0,706481.0,2115422.0,14748352.0,1438568.0,2281544.0,3077874.0,8582458.0,9485810.0,5574886.0,10646045.0,1481054.0,289885.0,619904.0,86056.0,8090552.0,979639.0,448133.0,924832.0,1488155.0,1497218.0,121880000.0,38024400.0,48022000.0,68302000.0,28173500.0,437812400.0,18896400.0,8709800.0,4105300.0,10581600.0,13830500.0,8646000.0,5574800.0,90451800.0,33999300.0,20991200.0,4182700.0,13970000.0,51212200.0,4209100.0,10980300.0,22450200.0,3902400.0,12401600.0,9692300.0,65210600.0,14898800.0,16019500.0,34735300.0,6049500.0
2025-04-11,6065788.0,4756749.0,2864754.0,4107953.0,1652479.0,4992545.0,3912964.0,8053072.0,1122428.0,15186179.0,492934.0,1439091.0,11201834.0,722285.0,1562149.0,1786630.0,11600407.0,6494127.0,4052898.0,11868134.0,918418.0,162310.0,610300.0,39246.0,4893109.0,687948.0,510215.0,763820.0,1065357.0,1816718.0,87435900.0,23839200.0,33636200.0,50594300.0,17642300.0,313417300.0,20284500.0,6804500.0,3736200.0,8602800.0,9943900.0,6121500.0,3576400.0,63671900.0,22884600.0,17224400.0,3603400.0,9047700.0,33964100.0,2721800.0,8563300.0,19988200.0,2657400.0,10190200.0,6089000.0,57892600.0,10955300.0,21113300.0,25508100.0,4439900.0
2025-04-14,9172387.0,4161229.0,2311623.0,2841660.0,1160009.0,3746245.0,3882860.0,6428706.0,670151.0,5945286.0,423578.0,1445347.0,10996435.0,893021.0,1368807.0,1743523.0,4592639.0,6002657.0,3480976.0,8771471.0,627844.0,195962.0,466395.0,56569.0,3294248.0,519215.0,128393.0,563006.0,935007.0,898583.0,101352900.0,19251200.0,30333000.0,48002500.0,14130900.0,264705000.0,13017800.0,5011800.0,3005500.0,9877300.0,10685300.0,4839300.0,2841800.0,46830600.0,18020000.0,9628200.0,3461200.0,7164400.0,25748300.0,2219900.0,5393800.0,13930200.0,2370500.0,8217700.0,6038100.0,36003000.0,6930300.0,10356600.0,27742900.0,4068300.0
2025-04-15,18867593.0,4099412.0,1584818.0,2041789.0,1134619.0,3071193.0,3582509.0,5327232.0,554481.0,3647502.0,456851.0,2091982.0,8264770.0,664195.0,1062338.0,2298932.0,6203007.0,4739402.0,2743247.0,7888579.0,780523.0,221336.0,223120.0,91133.0,3467126.0,496547.0,162810.0,482275.0,1048754.0,828048.0,51343900.0,17199900.0,27551500.0,43642000.0,15558700.0,228966900.0,10912900.0,4386200.0,2210700.0,8765000.0,10847700.0,3871300.0,2883100.0,84677800.0,13164900.0,9334800.0,2458100.0,8078500.0,17242400.0,1788200.0,5459600.0,14965500.0,2545900.0,8630000.0,5227700.0,28116500.0,6346800.0,6958900.0,21871200.0,2901200.0
2025-04-16,10428193.0,4753055.0,2258282.0,5553330.0,1488980.0,2903168.0,2350733.0,5159797.0,1089074.0,4903422.0,400937.0,1618113.0,10855401.0,584025.0,1749585.0,1291646.0,5211107.0,5535273.0,3799779.0,4917833.0,814144.0,170169.0,215815.0,93140.0,4402162.0,764514.0,186123.0,411291.0,637405.0,1049158.0,59732400.0,21967800.0,28187400.0,51875300.0,18735100.0,397016900.0,9322300.0,5850600.0,2501000.0,5897500.0,7986900.0,4192100.0,2637200.0,52872700.0,13607000.0,8637200.0,3302600.0,9459300.0,34638600.0,2531700.0,7878600.0,15276200.0,1823500.0,8295200.0,7190900.0,62109000.0,10417200.0,10862500.0,22229100.0,3098900.0
2025-04-17,6301829.0,1654740.0,654802.0,1616649.0,422083.0,2268269.0,1018010.0,1526926.0,291862.0,1749492.0,151385.0,524489.0,5324709.0,303971.0,369689.0,444465.0,2451776.0,2415101.0,1203586.0,2358659.0,557984.0,57507.0,94121.0,24828.0,1856649.0,275912.0,63849.0,152814.0,448521.0,996803.0,52164700.0,21120200.0,33046600.0,44726500.0,14593500.0,292517500.0,9557900.0,5655900.0,3329800.0,7227100.0,10981100.0,29120200.0,3232400.0,47144400.0,17916500.0,8434400.0,10853400.0,8998100.0,22501800.0,2711100.0,6131400.0,20754500.0,3038300.0,8925500.0,5566900.0,34801400.0,7135900.0,5739200.0,21393900.0,2728500.0
2025-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46742500.0,20807300.0,26049100.0,48126100.0,16166000.0,288501100.0,8716200.0,6362300.0,3345600.0,8062400.0,6285400.0,13029900.0,4015200.0,34928300.0,16926500.0,9967500.0,3326600.0,7364600.0,23469800.0,2841300.0,7412800.0,16037200.0,2314800.0,12201200.0,9240000.0,33855400.0,8128300.0,8275000.0,18361200.0,2669900.0
2025-04-22,8598137.0,6046875.0,1187071.0,2745667.0,936181.0,2057683.0,2486378.0,4633612.0,464464.0,3409372.0,380313.0,1641162.0,11979655.0,413545.0,1191128.0,1193705.0,4058927.0,3390460.0,2312832.0,3828536.0,4275651.0,187718.0,309139.0,42884.0,3386802.0,570487.0,112249.0,531898.0,1227572.0,1527006.0,52976400.0,19485000.0,26971800.0,56607200.0,17399400.0,241004800.0,10701400.0,5435500.0,2384000.0,7907400.0,7136300.0,10156900.0,2802400.0,42288900.0,13147000.0,7984700.0,3086500.0,6191900.0,18504900.0,2230600.0,7144700.0,15613500.0,3677800.0,11233700.0,7145300.0,35236700.0,8228000.0,9139900.0,15407800.0,4200700.0
2025-04-23,9032283.0,7324429.0,2230469.0,3949927.0,1767042.0,3680362.0,3238115.0,6385523.0,819704.0,4569543.0,694124.0,3015786.0,19546277.0,874801.0,1656625.0,2097252.0,4427170.0,5396267.0,3792546.0,5150240.0,2044577.0,246909.0,263421.0,44643.0,4272480.0,635089.0,214806.0,551444.0,1753112.0,1484673.0,52929200.0,20545500.0,31128800.0,63470100.0,18173900.0,247526000.0,14126800.0,8906000.0,3051800.0,9309200.0,9099400.0,8345700.0,3283300.0,54428400.0,14235700.0,10002000.0,2714600.0,7119700.0,24380500.0,2109700.0,7760000.0,16353900.0,3492200.0,9528900.0,5818900.0,41102600.0,9073500.0,14125000.0,18046900.0,3210100.0
2025-04-24,6669360.0,4668895.0,1463592.0,2159867.0,1811461.0,1832493.0,2622344.0,5220750.0,578403.0,3928510.0,456150.0,3247569.0,15277106.0,501897.0,1912168.0,2095291.0,2665587.0,4579981.0,2073710.0,4098052.0,1049324.0,195156.0,704948.0,40698.0,3320252.0,432928.0,211542.0,462208.0,2597897.0,884668.0,47311000.0,22232300.0,45894000.0,43763200.0,13910000.0,220815000.0,9055200.0,8055200.0,2209100.0,20077700.0,8310400.0,7629100.0,2749500.0,42457100.0,9849600.0,7745800.0,2939500.0,8789400.0,27576900.0,2468500.0,15577300.0,16893900.0,3662400.0,7305900.0,7857600.0,33681900.0,8810600.0,18950400.0,13444500.0,2479500.0
2025-04-25,6804083.0,5309226.0,1307187.0,2539574.0,3040005.0,2600343.0,2330140.0,5332518.0,611527.0,3667593.0,614149.0,2369562.0,7305842.0,547267.0,2360981.0,2259954.0,4745441.0,4892450.0,2037573.0,5164589.0,1052151.0,190466.0,698898.0,57410.0,2765290.0,543454.0,205133.0,468474.0,1138674.0,671023.0,38222300.0,18973200.0,56034000.0,36414300.0,17098900.0,251064700.0,8588600.0,4452800.0,2006100.0,12892800.0,8643600.0,9263800.0,2811300.0,32694200.0,11245800.0,6878500.0,3398900.0,10482100.0,21242300.0,1780900.0,11544700.0,16316000.0,2698300.0,5476400.0,5651700.0,28575300.0,5145600.0,8383300.0,15317200.0,2282900.0
2025-04-28,5338111.0,2847958.0,1823218.0,2332462.0,2735640.0,3081900.0,3590095.0,4384341.0,700769.0,2859166.0,633475.0,1268947.0,7659566.0,777282.0,2151453.0,1903342.0,3217345.0,4160123.0,3271959.0,3604161.0,620641.0,237324.0,262739.0,40741.0,2920791.0,318445.0,206830.0,404685.0,2215709.0,737390.0,38743100.0,16579400.0,29745800.0,33224700.0,15179000.0,207708500.0,7394300.0,5422900.0,1735400.0,8127000.0,5815200.0,6614300.0,2413000.0,37428000.0,13890900.0,6715500.0,3457600.0,10408000.0,16385800.0,1616200.0,8498600.0,15997500.0,2531600.0,6985100.0,4977700.0,30456700.0,5743500.0,5170500.0,12950000.0,2578300.0
2025-04-29,7217406.0,4437063.0,3573248.0,2078541.0,2436820.0,5124935.0,6643713.0,4928442.0,1902295.0,3088695.0,390384.0,2400090.0,9207999.0,682969.0,1838164.0,1240218.0,3767232.0,7546073.0,5186026.0,3587535.0,1048528.0,265345.0,307363.0,53254.0,3980576.0,546637.0,401789.0,484053.0,1417764.0,897017.0,36827600.0,14974000.0,26809000.0,41667300.0,11835000.0,170444300.0,7216800.0,5519500.0,2041500.0,8266200.0,5246700.0,9909100.0,2836900.0,33792500.0,9483100.0,7343800.0,2454400.0,6671400.0,14630000.0,1523100.0,7010700.0,16244100.0,2437300.0,4851500.0,3139800.0,20700600.0,6692000.0,6566500.0,12679000.0,3164500.0
2025-04-30,5788390.0,3538682.0,1992722.0,2190034.0,1144268.0,3471245.0,5280160.0,3682696.0,1016619.0,3479527.0,362176.0,1413431.0,7997441.0,845775.0,1437490.0,740402.0,1780221.0,14518814.0,4306187.0,4030171.0,661525.0,284977.0,436041.0,23913.0,3199722.0,3724632.0,296748.0,552782.0,1186767.0,371355.0,52286500.0,36461100.0,34981100.0,55176500.0,29244000.0,235044600.0,12991700.0,9526700.0,3783500.0,12475500.0,9598200.0,9192800.0,3741500.0,40994600.0,20379300.0,13858000.0,4374100.0,8400700.0,22768900.0,2212400.0,7923500.0,21074700.0,2944300.0,9443500.0,4624100.0,29730700.0,10851900.0,6158600.0,21639900.0,5564600.0
2025-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57365700.0,58938100.0,30203200.0,74266000.0,31159000.0,236121500.0,8689600.0,5849900.0,2839900.0,6792800.0,7325800.0,9316800.0,3210100.0,33569100.0,18610300.0,10199800.0,12601100.0,5823600.0,24939700.0,1829900.0,6807000.0,18034200.0,2771900.0,11525800.0,5208900.0,29591500.0,22836600.0,6124900.0,13171800.0,5186900.0
2025-05-02,6898131.0,4157330.0,2066625.0,1851647.0,1224835.0,3186650.0,5850630.0,7789926.0,674530.0,5811084.0,645441.0,1354933.0,9073188.0,787238.0,1467749.0,1410649.0,3657519.0,11540341.0,3537504.0,5824293.0,812731.0,272301.0,282111.0,69403.0,3496258.0,2606916.0,379683.0,813387.0,1202391.0,697427.0,101010600.0,30757400.0,25715000.0,77903500.0,24739300.0,190194800.0,7165000.0,6113700.0,2632600.0,5750200.0,5974500.0,11392900.0,2283300.0,41613000.0,16581900.0,12393200.0,6059400.0,6424800.0,17766800.0,1547400.0,7169700.0,12629600.0,2492400.0,11346000.0,4323400.0,29957900.0,13185600.0,7642400.0,16031400.0,3994600.0
